"","subject","country","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","rel_9","cnorm_1","cnorm_2","wb_gen_1","wb_gen_2","wb_phys_1","wb_phys_2","wb_phys_3","wb_phys_4","wb_phys_5","wb_phys_6","wb_phys_7","wb_psych_1","wb_psych_2","wb_psych_3","wb_psych_4","wb_psych_5","wb_psych_6","wb_soc_1","wb_soc_2","wb_soc_3","wb_overall_mean","wb_phys_mean","wb_psych_mean","wb_soc_mean","age","gender","ses","education","ethnicity","denomination","gdp","gdp_scaled","sample_type","compensation","attention_check","religiosity","cnorm"
"28",29,"Australia",0.166666666666667,0.714285714285714,0.5,0,1,1,1,0,1,0,1,4,4,4,3,3,3,3,3,3,5,5,4,4,3,2,4,4,3,3.55555555555556,3.14285714285714,3.83333333333333,3.66666666666667,16.2371498771499,1,-1.18680999224184,-0.508576949371538,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.825114613208461,0.328146752119274
"29",30,"Australia",0.833333333333333,0.714285714285714,0.5,1,0.5,0.666666666666667,0.666666666666667,0.5,0.75,0.5,0.5,4,4,5,4,4,4,4,5,4,4,5,4,5,4,4,5,4,5,4.33333333333333,4.28571428571429,4.33333333333333,4.66666666666667,13.2371498771499,0,1.07504886050877,1.87274974942339,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.864555953775496,0.328146752119274
"30",31,"Australia",0.833333333333333,1,0.5,1,0.5,1,0.333333333333333,0.5,0.75,0.5,0.75,5,4,4,4,5,5,3,4,4,4,5,5,4,2,3,2,2,1,3.66666666666667,4.14285714285714,3.83333333333333,1.66666666666667,1.23714987714988,0,0.509584147321121,0.285198616893439,"Indigenous","Christian (Protestant)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.15754876941634,0.803421100443752
"31",32,"Australia",0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,4,3,3,2,1,3,5,4,1,5,5,2,1,3,5,4,3,5,3.27777777777778,2.71428571428571,3.5,4,-14.7628501228501,1,-1.18680999224184,-2.09612808190149,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-1.01172496177065,-0.622401944529682
"32",33,"Australia",0.833333333333333,0.857142857142857,1,0,0.666666666666667,1,1,0.75,0.75,0.75,0.75,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4.11111111111111,4,4,4.66666666666667,12.2371498771499,1,1.07504886050877,0.285198616893439,"East Asian",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.52378978896739,1.27869544876823
"33",34,"Australia",0,0.142857142857143,0.5,0,0.5,0.166666666666667,0.666666666666667,0,0,0.25,0.25,3,2,5,4,3,3,1,2,3,1,3,3,3,2,2,4,1,NA,2.64705882352941,3,2.33333333333333,2.5,-15.7628501228501,0,0.509584147321121,-1.30235251563652,"East Asian",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.628580510548016,-0.622401944529682
"34",35,"Australia",0.833333333333333,0.857142857142857,1,1,0.666666666666667,1,0.833333333333333,0.75,1,0.75,0.5,4,4,1,3,4,4,4,5,5,4,5,5,4,5,4,5,4,5,4.16666666666667,3.71428571428571,4.5,4.66666666666667,5.23714987714988,1,0.509584147321121,1.07897418315842,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.6421138106685,0.803421100443752
"35",36,"Australia",0.666666666666667,0.714285714285714,1,0,0.666666666666667,0.833333333333333,0.5,0.5,0.25,0.75,0.75,4,5,3,4,4,4,4,4,5,4,4,5,3,3,3,3,4,5,3.94444444444444,4,3.66666666666667,4,-1.76285012285012,0,1.07504886050877,0.285198616893439,"East Asian",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.943438634909569,1.27869544876823
"36",37,"Australia",0,0,0.5,0,1,0,1,0,0,0,0,2,2,1,1,1,2,2,1,1,1,1,5,2,1,1,1,2,1,1.55555555555556,1.28571428571429,1.83333333333333,1.33333333333333,18.2371498771499,1,-2.31773941861715,-2.09612808190149,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.538428874966219,-1.57295064117864
"37",38,"Australia",0,0,0,0,1,0,0,0,0,1,1,5,4,4,3,4,5,2,4,3,5,4,3,5,4,3,4,5,5,4,3.57142857142857,4,4.66666666666667,9.23714987714988,1,-2.31773941861715,-2.09612808190149,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.775076918368436,2.22924414541719
